time,dist,path
792.962160250172,151539.0,35->16->14->15->17->36->37->38->39->40->59->58->60->61->62->63->72->71->70->69->66->64->65->54->33->32->46->68->67->49->50->48->47->43->44->22->75->74->0->21->20->24->23->45->25->26->41->53->52->51->55->56->57->42->27->28->29->10->11->12->13->73->8->9->19->4->5->6->7->1->2->3->18->30->31->34
814.0122328680009,151775.0,23->45->44->43->25->29->9->8->5->4->19->18->30->16->17->36->35->53->52->51->48->49->65->64->70->71->72->63->58->59->40->38->37->34->31->28->32->33->39->60->61->62->56->57->54->55->50->66->69->67->68->46->47->11->12->13->73->14->15->10->27->41->42->26->0->75->74->1->7->6->2->3->22->21->20->24
789.900348495692,134207.0,4->5->6->7->1->2->3->9->8->11->10->16->34->39->40->59->58->60->61->57->54->56->62->63->72->71->70->64->65->55->50->49->48->51->52->53->41->32->31->12->13->73->14->15->17->36->35->37->38->33->43->47->68->67->69->66->46->44->45->23->21->22->75->74->0->20->24->25->26->42->27->28->29->30->18->19
739.0996445193887,158019.0,2->6->5->4->19->29->30->18->9->8->10->28->25->26->46->68->67->69->66->49->48->52->47->43->44->45->23->27->42->39->40->60->61->63->62->56->55->50->51->54->57->58->59->33->11->12->13->73->7->1->74->75->0->22->21->20->24->31->32->34->35->16->14->15->17->36->37->38->72->71->70->64->65->53->41->3
787.925778163597,138679.0,33->34->35->36->17->4->2->74->75->1->3->29->30->18->19->9->8->5->6->7->73->13->12->11->10->14->15->16->31->32->53->52->48->49->50->65->64->70->71->72->55->54->41->42->27->28->25->26->47->43->44->45->24->20->0->22->21->23->46->68->67->69->66->51->57->56->62->63->61->60->58->59->40->39->38->37
780.9169369712472,157724.0,43->26->25->18->9->8->13->12->11->10->57->55->50->49->65->64->70->71->72->63->62->40->39->4->5->6->7->73->14->15->16->17->36->35->37->38->33->34->31->32->27->42->41->53->48->66->69->22->0->75->74->1->2->3->19->30->29->28->59->58->60->61->56->54->51->52->24->20->21->23->45->44->46->68->67->47
753.936284031719,133072.0,54->55->56->61->60->58->59->40->39->38->37->35->36->17->16->9->4->20->21->23->24->25->26->28->27->42->41->53->52->66->69->67->68->46->47->43->44->45->29->30->18->19->5->7->6->2->3->22->0->75->74->1->8->12->13->73->14->15->11->10->34->31->32->33->57->62->63->72->71->70->64->65->50->49->48->51
781.4728247523308,156492.0,4->19->18->30->29->28->25->3->2->5->6->7->8->10->16->17->36->31->32->27->26->1->74->75->0->22->42->53->52->51->50->65->64->66->69->67->68->46->47->43->41->40->39->38->37->35->34->33->59->58->60->61->54->55->49->48->44->24->20->21->23->45->70->71->72->63->62->56->57->15->14->73->13->12->11->9
738.2459809836,156802.0,59->58->57->55->54->53->41->32->31->34->35->10->9->8->5->4->19->18->23->45->44->43->47->46->48->49->50->51->52->26->25->3->2->1->75->74->7->6->38->37->36->17->16->15->14->73->13->12->11->30->27->42->65->64->66->69->67->68->24->20->21->22->0->29->28->33->39->40->56->62->63->70->71->72->61->60
773.1658844090998,157212.0,51->52->47->46->43->26->28->29->1->74->75->0->44->67->66->49->48->50->65->64->55->53->41->42->30->18->4->5->2->3->19->37->38->63->72->71->70->69->68->45->23->22->21->20->24->25->27->32->31->34->35->36->17->16->10->11->15->14->12->13->73->7->6->8->9->33->39->40->59->58->60->61->62->56->57->54
947.5899697151035,154122.0,41->57->56->62->61->60->58->59->40->39->53->52->66->67->46->47->43->19->9->8->10->16->17->36->15->14->73->13->12->11->5->4->3->20->24->31->32->33->38->37->35->34->18->22->0->75->74->1->7->6->2->21->23->45->44->68->69->70->71->72->63->55->54->51->50->64->65->49->48->26->25->29->30->28->27->42
772.3607392609119,160086.0,42->32->31->28->30->18->6->7->73->13->12->34->33->39->40->55->54->53->52->51->50->65->49->48->47->46->68->67->69->66->64->62->63->72->71->70->56->58->59->27->26->43->44->45->25->29->3->2->1->74->75->0->22->21->36->17->16->10->9->4->19->24->23->20->5->8->11->14->15->35->37->38->60->61->57->41
765.45956909284,149712.0,9->36->35->39->40->33->32->31->34->17->15->14->73->13->12->11->10->16->37->38->59->57->54->55->50->49->66->69->67->68->46->47->43->25->29->30->18->20->24->26->42->41->53->52->48->44->45->23->2->3->19->28->51->65->64->70->71->72->63->62->56->61->60->58->27->21->22->0->75->74->1->7->6->5->4->8
721.3868674486876,161884.0,51->52->26->24->20->3->2->5->8->9->4->19->18->30->29->28->31->34->35->36->16->10->1->0->75->74->6->7->11->12->13->73->14->15->17->37->38->60->61->63->72->71->70->46->45->23->22->21->25->27->57->56->62->64->65->68->67->69->66->55->54->53->41->32->33->39->40->59->58->42->44->43->47->48->49->50
780.3173609506339,147351.0,34->33->57->56->62->63->64->66->69->67->68->48->49->50->55->54->53->41->4->6->7->1->74->75->0->22->21->3->2->5->8->9->19->18->30->28->27->32->31->11->15->14->73->13->12->29->43->47->46->44->45->23->20->24->25->26->42->52->51->65->70->71->72->61->60->58->59->40->39->38->37->35->36->17->16->10
722.0912950206548,131450.0,15->36->17->16->10->11->8->9->4->19->18->20->24->25->26->28->27->42->41->53->52->51->48->50->55->54->57->56->62->63->70->71->72->61->60->58->59->40->39->38->37->35->34->33->32->31->29->30->3->1->74->75->0->45->44->46->68->67->69->66->64->65->49->47->43->23->21->22->2->5->6->7->73->13->12->14
849.3857117574662,143668.0,38->37->34->32->31->28->29->30->18->35->36->17->16->10->11->12->13->73->7->1->74->75->0->22->21->68->67->69->66->65->50->54->55->62->63->72->71->70->64->51->27->19->4->2->3->20->24->23->45->44->43->47->46->49->48->52->53->41->42->26->25->5->6->8->9->14->15->33->57->56->61->60->58->59->40->39
760.7158542368561,147061.0,3->19->18->30->29->31->34->37->38->59->58->60->61->63->62->56->55->50->48->45->23->21->22->0->20->24->44->43->47->46->68->67->66->69->70->71->72->64->65->49->26->25->28->27->32->35->36->17->16->15->14->11->7->6->1->75->74->73->13->12->10->33->39->40->57->54->51->52->53->41->42->4->9->8->5->2
746.6747261844575,159177.0,18->19->4->5->6->7->8->9->2->1->0->20->24->48->49->50->65->64->55->15->14->73->13->12->11->10->42->41->51->54->33->16->17->36->35->53->52->43->47->46->68->67->69->66->44->45->23->21->22->75->74->3->28->57->56->62->63->70->71->72->61->60->58->59->40->39->38->37->34->31->32->27->26->25->29->30
778.8408038523048,142570.0,33->32->31->28->27->42->48->51->50->55->54->56->70->71->72->63->62->61->60->40->38->37->36->17->16->15->14->73->13->12->11->8->9->4->19->29->43->47->49->65->64->66->69->67->68->46->44->45->23->3->2->0->75->74->1->7->6->5->10->35->34->30->18->22->21->20->24->25->26->41->53->52->57->58->59->39
788.3831100165844,147653.0,28->29->30->18->19->23->45->44->43->47->48->51->49->46->68->67->69->66->50->65->64->63->62->61->60->36->17->16->10->11->8->9->4->5->6->7->73->13->12->14->15->35->39->40->59->72->71->70->31->3->2->1->74->75->0->22->21->20->24->25->26->27->32->33->34->37->38->58->57->56->55->54->52->53->41->42
770.1162570435554,145726.0,6->1->74->75->0->20->25->26->42->52->51->50->65->64->55->54->59->40->39->38->37->34->33->57->56->70->71->72->63->62->61->60->58->32->29->30->18->4->5->2->3->19->28->27->31->35->36->17->16->15->14->11->12->13->73->7->22->21->24->23->45->44->46->67->66->69->68->47->43->49->48->53->41->10->9->8
775.6779912170023,155369.0,36->17->15->14->16->31->32->52->51->50->66->69->67->68->49->48->26->6->7->1->74->75->0->22->21->18->30->29->25->43->47->44->19->4->73->13->12->11->10->9->8->5->2->3->20->24->23->45->46->65->64->70->71->72->63->62->61->60->56->55->54->57->39->33->37->38->40->59->58->53->41->42->27->28->34->35
846.0969987791032,155182.0,28->29->31->34->37->38->41->53->52->48->66->69->67->68->46->43->25->26->42->50->64->65->49->47->44->45->23->24->9->11->15->14->73->13->12->16->17->36->35->33->51->54->55->57->58->39->10->8->1->74->75->0->22->21->20->3->2->6->7->5->4->19->18->30->56->62->63->70->71->72->61->60->59->40->32->27
