time,dist,path
179.93827198445797,153209.0,56->62->63->61->60->58->59->40->38->37->17->36->35->34->32->31->18->30->29->28->27->50->65->64->70->71->72->39->33->4->5->2->0->22->21->24->26->42->52->48->49->51->53->41->25->19->9->12->13->73->7->74->75->1->6->8->11->14->15->16->10->3->20->23->45->44->43->47->46->68->67->69->66->55->54->57
184.8763677123934,151722.0,64->41->18->5->6->7->1->0->22->21->20->24->8->11->12->13->73->14->15->36->17->16->10->9->30->28->27->42->32->31->33->34->35->37->38->39->40->66->69->67->68->46->47->43->26->25->29->19->4->3->2->74->75->23->45->44->48->49->65->50->55->57->58->59->53->52->51->54->56->60->61->62->63->72->71->70
190.37376589514315,152998.0,58->59->40->39->31->32->41->42->26->24->20->75->74->7->6->5->2->3->4->8->11->9->28->27->46->68->67->69->66->49->48->23->21->22->0->1->19->18->30->29->25->45->44->43->47->52->53->33->38->37->35->36->17->16->10->12->13->73->14->15->34->51->50->65->64->55->54->57->60->61->62->63->72->71->70->56
192.88363421708345,158296.0,12->14->15->11->8->9->4->18->30->19->3->2->1->74->75->0->22->21->20->52->51->49->66->69->67->68->41->33->35->10->16->17->36->39->40->59->58->57->60->61->56->54->53->42->27->26->25->24->23->45->44->46->55->62->63->70->71->72->38->37->34->31->32->50->64->65->48->47->43->28->29->5->6->7->73->13
197.12619229964912,164249.0,1->23->45->44->43->42->27->28->9->8->73->13->12->34->39->59->40->35->36->15->14->11->18->30->29->31->32->47->46->68->41->53->52->51->54->57->56->55->50->65->64->69->67->66->49->48->26->25->19->4->10->16->17->37->38->60->61->63->72->71->70->62->58->33->5->7->6->2->3->24->20->21->22->0->75->74
180.6715256664902,156567.0,30->18->19->4->9->8->11->12->14->15->17->36->35->34->16->10->13->73->7->6->5->37->38->40->59->58->39->33->32->31->29->20->21->22->2->3->25->66->69->67->68->46->45->44->43->47->48->51->56->61->60->57->54->50->55->62->63->72->71->70->64->65->49->23->0->75->74->1->24->26->52->53->41->42->27->28
191.39084707945585,147829.0,58->60->57->54->55->64->65->50->51->19->4->5->7->6->2->22->21->20->24->23->45->44->26->25->28->31->32->27->42->41->52->53->33->34->35->18->30->29->43->47->46->68->67->69->66->49->48->56->62->63->70->71->72->61->38->37->15->14->73->13->12->11->8->3->0->75->74->1->9->10->16->17->36->39->40->59
188.8632008060813,152679.0,19->4->9->10->11->8->5->3->2->1->22->21->23->45->44->26->27->31->28->30->18->29->25->43->47->67->66->49->48->51->52->53->41->46->68->69->70->71->72->63->62->61->60->56->57->58->59->32->34->33->39->40->38->37->17->36->35->54->55->64->65->50->42->24->20->0->75->74->6->7->73->13->12->14->15->16
190.96603135950863,153113.0,29->33->39->57->56->62->63->61->60->58->59->40->41->53->52->51->50->49->48->46->45->44->43->47->26->25->30->9->8->11->10->14->15->16->17->36->42->68->67->66->69->70->71->72->64->65->55->54->27->28->31->32->34->38->37->35->18->19->4->5->12->13->73->7->6->1->74->75->0->2->3->22->21->23->24->20
193.22806837968528,160584.0,12->14->15->36->35->34->33->54->57->60->61->56->55->47->43->26->27->42->41->53->52->51->48->49->66->69->67->68->25->19->4->8->5->3->2->6->7->73->13->10->16->17->37->38->39->40->59->58->32->20->21->22->0->75->74->1->62->63->72->71->70->64->65->50->46->44->45->23->24->18->30->29->28->31->9->11
183.29513570852578,157086.0,22->75->74->1->0->21->20->36->35->34->24->23->32->33->39->57->55->50->66->69->67->68->46->47->26->25->28->29->30->18->19->4->8->5->3->2->6->7->73->13->12->9->31->27->42->41->53->52->48->49->65->64->70->71->72->63->62->61->40->10->11->14->15->16->17->37->38->59->58->60->56->54->51->43->44->45
184.44155574403703,163299.0,13->12->11->8->7->6->5->2->3->19->18->30->31->34->33->32->41->53->50->49->48->42->27->28->25->26->52->51->54->55->70->71->72->63->62->64->65->56->57->58->59->40->1->74->75->0->22->21->23->45->44->24->20->29->35->37->38->60->61->39->36->17->10->9->4->43->47->46->68->67->69->66->16->15->14->73
183.14512648247182,156312.0,23->24->4->9->8->11->12->13->73->14->15->5->2->3->19->18->33->39->40->32->28->20->21->22->0->75->74->1->6->7->10->16->17->36->30->29->25->26->27->31->34->35->37->38->59->60->61->62->63->72->71->70->64->46->44->45->51->54->58->57->56->55->50->65->49->48->47->43->42->41->53->52->66->69->67->68
190.31461792439222,148790.0,3->23->45->44->47->46->68->67->69->66->50->55->56->62->61->60->58->59->39->33->32->30->29->27->42->41->53->54->63->72->71->70->64->65->57->40->38->37->35->9->5->6->7->73->13->12->14->15->16->10->11->8->1->74->75->0->22->21->20->24->17->36->34->31->28->25->26->52->51->49->48->43->18->19->4->2
200.1028937883675,152474.0,11->30->28->27->42->41->53->32->34->35->2->1->74->75->0->22->21->3->5->6->7->73->13->12->36->37->38->39->33->31->29->20->24->52->51->48->49->65->56->61->60->40->59->58->57->54->50->55->62->63->72->71->70->64->66->69->67->68->46->47->43->26->25->44->45->23->18->19->4->9->8->10->16->17->15->14
191.2196413166821,151294.0,42->25->18->19->3->2->21->20->24->4->9->10->15->14->12->11->32->64->65->49->48->45->23->22->0->75->74->1->5->8->6->7->73->13->16->17->31->26->44->43->47->46->68->67->66->69->70->71->72->63->62->61->60->56->54->51->50->55->57->58->59->40->39->33->38->37->36->35->34->30->29->28->27->41->53->52
188.02497837878764,156808.0,32->31->33->38->37->17->36->35->34->18->19->20->21->3->2->4->9->16->15->14->8->5->6->74->75->22->0->1->7->73->13->12->11->10->30->29->44->43->47->48->49->65->66->69->67->68->46->45->23->24->52->51->55->56->57->58->54->42->26->25->28->27->50->64->70->71->72->63->62->61->60->59->40->39->53->41
195.68505409173667,135346.0,20->24->23->45->44->43->47->46->68->67->69->66->49->65->64->50->55->54->51->52->53->27->28->29->19->18->30->31->32->33->39->57->58->59->40->38->37->17->16->10->11->12->13->73->14->15->36->35->34->42->41->56->60->61->62->63->72->71->70->48->26->25->1->74->75->0->22->21->3->4->9->8->7->6->5->2
184.12667187303305,158400.0,14->16->17->36->35->34->60->61->72->71->70->63->62->56->54->51->48->52->4->6->7->1->74->75->0->22->21->20->18->19->9->8->5->2->3->29->28->27->42->41->53->31->10->12->13->73->11->30->26->43->47->46->44->45->23->24->25->32->33->39->40->57->55->64->65->49->68->67->69->66->50->58->59->38->37->15
