time,dist,path
43.604785177856684,21.0,1->3->0->2->4
43.61287396028638,21.0,1->4->2->0->3
41.68055662326515,21.0,1->4->2->0->3
38.30236789025366,21.0,2->0->3->1->4
38.692194959148765,21.0,3->1->4->2->0
45.59123788587749,21.0,3->1->4->2->0
42.81685193255544,21.0,2->4->1->3->0
41.82518754899502,21.0,2->0->3->1->4
40.163892194628716,21.0,0->3->1->4->2
42.47037126496434,21.0,3->1->4->2->0
45.63211293518543,21.0,4->1->3->0->2
42.16771914064884,21.0,0->2->4->1->3
41.79543954320252,21.0,1->3->0->2->4
43.62640316598117,21.0,3->0->2->4->1
40.84305052831769,21.0,4->1->3->0->2
38.42393408343196,21.0,3->1->4->2->0
43.445721346884966,21.0,2->4->1->3->0
43.060660511255264,21.0,3->0->2->4->1
39.78342550806701,21.0,0->3->1->4->2
42.81746857240796,21.0,1->3->0->2->4
41.960618855431676,21.0,2->0->3->1->4
43.329942155629396,21.0,4->1->3->0->2
42.649210795760155,21.0,2->0->3->1->4
41.72937037795782,21.0,4->2->0->3->1
44.87883307226002,21.0,1->3->0->2->4
